"","variable","value"
"434","uncleaned",156
"435","uncleaned",160
"436","uncleaned",162
"437","uncleaned",160
"438","uncleaned",155
"439","uncleaned",162
"440","uncleaned",154
"441","uncleaned",157
"442","uncleaned",157
"443","uncleaned",162
"444","uncleaned",154
"445","uncleaned",156
"446","uncleaned",154
"447","uncleaned",159
"448","uncleaned",162
"449","uncleaned",161
"450","uncleaned",158
"451","uncleaned",154
"452","uncleaned",156
"453","uncleaned",160
"454","uncleaned",153
"455","uncleaned",159
"456","uncleaned",160
"457","uncleaned",160
"458","uncleaned",162
"459","uncleaned",158
"460","uncleaned",156
"461","uncleaned",162
"462","uncleaned",156
"463","uncleaned",158
"464","uncleaned",159
"465","uncleaned",152
"466","uncleaned",157
"467","uncleaned",154
"468","uncleaned",152
"469","uncleaned",161
"470","uncleaned",154
"471","uncleaned",154
"472","uncleaned",157
"473","uncleaned",162
"474","uncleaned",158
"475","uncleaned",160
"476","uncleaned",159
"477","uncleaned",162
"478","uncleaned",158
"479","uncleaned",160
"480","uncleaned",161
"481","uncleaned",160
"482","uncleaned",152
"483","uncleaned",160
"484","uncleaned",160
"485","uncleaned",162
"486","uncleaned",152
"487","uncleaned",152
"488","uncleaned",152
"489","uncleaned",155
"490","uncleaned",158
"491","uncleaned",153
"492","uncleaned",160
"493","uncleaned",159
"494","uncleaned",153
"495","uncleaned",160
"496","uncleaned",158
"497","uncleaned",162
"498","uncleaned",158
"499","uncleaned",154
"500","uncleaned",155
"501","uncleaned",165
"502","uncleaned",169
"503","uncleaned",170
"504","uncleaned",168
"505","uncleaned",164
"506","uncleaned",166
"507","uncleaned",170
"508","uncleaned",170
"509","uncleaned",163
"510","uncleaned",170
"511","uncleaned",167
"512","uncleaned",167
"513","uncleaned",173
"514","uncleaned",171
"515","uncleaned",169
"516","uncleaned",167
"517","uncleaned",171
"518","uncleaned",167
"519","uncleaned",167
"520","uncleaned",167
"521","uncleaned",168
"522","uncleaned",172
"523","uncleaned",163
"524","uncleaned",163
"525","uncleaned",172
"526","uncleaned",167
"527","uncleaned",168
"528","uncleaned",166
"529","uncleaned",169
"530","uncleaned",164
"531","uncleaned",163
"532","uncleaned",170
"533","uncleaned",173
"534","uncleaned",166
"535","uncleaned",166
"536","uncleaned",167
"537","uncleaned",168
"538","uncleaned",166
"539","uncleaned",167
"540","uncleaned",169
"541","uncleaned",171
"542","uncleaned",164
"543","uncleaned",171
"544","uncleaned",173
"545","uncleaned",172
"546","uncleaned",166
"547","uncleaned",169
"548","uncleaned",164
"549","uncleaned",163
"550","uncleaned",170
"551","uncleaned",168
"552","uncleaned",169
"553","uncleaned",169
"554","uncleaned",173
"555","uncleaned",167
"556","uncleaned",171
"557","uncleaned",166
"558","uncleaned",172
"559","uncleaned",167
"560","uncleaned",171
"561","uncleaned",163
"562","uncleaned",165
"563","uncleaned",171
"564","uncleaned",165
"565","uncleaned",166
"566","uncleaned",164
"567","uncleaned",169
"568","uncleaned",169
"569","uncleaned",165
"570","uncleaned",172
"571","uncleaned",163
"572","uncleaned",169
"573","uncleaned",168
"574","uncleaned",166
"575","uncleaned",170
"576","uncleaned",167
"577","uncleaned",172
"578","uncleaned",170
"579","uncleaned",169
"580","uncleaned",166
"581","uncleaned",164
"582","uncleaned",164
"583","uncleaned",170
"584","uncleaned",171
"585","uncleaned",167
"586","uncleaned",167
"587","uncleaned",164
"588","uncleaned",168
"589","uncleaned",167
"590","uncleaned",166
"591","uncleaned",170
"592","uncleaned",166
"593","uncleaned",167
"594","uncleaned",164
"595","uncleaned",168
"596","uncleaned",171
"597","uncleaned",165
"598","uncleaned",166
"599","uncleaned",171
"600","uncleaned",163
"601","uncleaned",181
"602","uncleaned",177
"603","uncleaned",174
"604","uncleaned",178
"605","uncleaned",174
"606","uncleaned",181
"607","uncleaned",179
"608","uncleaned",174
"609","uncleaned",174
"610","uncleaned",181
"611","uncleaned",180
"612","uncleaned",181
"613","uncleaned",180
"614","uncleaned",182
"615","uncleaned",182
"616","uncleaned",182
"617","uncleaned",176
"618","uncleaned",174
"619","uncleaned",174
"620","uncleaned",177
"621","uncleaned",179
"622","uncleaned",175
"623","uncleaned",177
"624","uncleaned",181
"625","uncleaned",176
"626","uncleaned",175
"627","uncleaned",176
"628","uncleaned",178
"629","uncleaned",177
"630","uncleaned",181
"631","uncleaned",180
"632","uncleaned",181
"633","uncleaned",175
"634","uncleaned",181
"635","uncleaned",175
"636","uncleaned",174
"637","uncleaned",179
"638","uncleaned",180
"639","uncleaned",176
"640","uncleaned",182
"641","uncleaned",180
"642","uncleaned",174
"643","uncleaned",174
"644","uncleaned",176
"645","uncleaned",176
"646","uncleaned",177
"647","uncleaned",177
"648","uncleaned",176
"649","uncleaned",173
"650","uncleaned",179
"651","uncleaned",178
"652","uncleaned",173
"653","uncleaned",178
"654","uncleaned",180
"655","uncleaned",175
"656","uncleaned",178
"657","uncleaned",174
"658","uncleaned",176
"659","uncleaned",176
"660","uncleaned",175
"661","uncleaned",179
"662","uncleaned",179
"663","uncleaned",179
"664","uncleaned",179
"665","uncleaned",180
"666","uncleaned",175
"667","uncleaned",180
"668","uncleaned",180
"669","uncleaned",174
"670","uncleaned",181
"671","uncleaned",177
"672","uncleaned",175
"673","uncleaned",178
"674","uncleaned",177
"675","uncleaned",175
"676","uncleaned",174
"677","uncleaned",177
"678","uncleaned",182
"679","uncleaned",180
"680","uncleaned",180
"681","uncleaned",181
"682","uncleaned",175
"683","uncleaned",178
"684","uncleaned",181
"685","uncleaned",175
"686","uncleaned",176
"687","uncleaned",181
"688","uncleaned",180
"689","uncleaned",181
"690","uncleaned",178
"691","uncleaned",174
"692","uncleaned",182
"693","uncleaned",176
"694","uncleaned",181
"695","uncleaned",181
"696","uncleaned",175
"697","uncleaned",181
"698","uncleaned",174
"699","uncleaned",180
"700","uncleaned",175
"701","uncleaned",189
"702","uncleaned",188
"703","uncleaned",182
"704","uncleaned",187
"705","uncleaned",184
"706","uncleaned",187
"707","uncleaned",189
"708","uncleaned",183
"709","uncleaned",186
"710","uncleaned",182
"711","uncleaned",183
"712","uncleaned",189
"713","uncleaned",182
"714","uncleaned",187
"715","uncleaned",188
"716","uncleaned",183
"717","uncleaned",186
"718","uncleaned",182
"719","uncleaned",185
"720","uncleaned",183
"721","uncleaned",183
"722","uncleaned",188
"723","uncleaned",188
"724","uncleaned",189
"725","uncleaned",187
"726","uncleaned",186
"727","uncleaned",185
"728","uncleaned",184
"729","uncleaned",189
"730","uncleaned",184
"731","uncleaned",186
"732","uncleaned",182
"733","uncleaned",182
"734","uncleaned",189
"735","uncleaned",187
"736","uncleaned",185
"737","uncleaned",188
"738","uncleaned",184
"739","uncleaned",187
"740","uncleaned",182
"741","uncleaned",184
"742","uncleaned",184
"743","uncleaned",187
"744","uncleaned",189
"745","uncleaned",183
"746","uncleaned",188
"747","uncleaned",182
"748","uncleaned",184
"749","uncleaned",188
"750","uncleaned",184
"751","uncleaned",185
"752","uncleaned",186
"753","uncleaned",190
"754","uncleaned",187
"755","uncleaned",185
"756","uncleaned",184
"757","uncleaned",182
"758","uncleaned",187
"759","uncleaned",185
"760","uncleaned",189
"761","uncleaned",187
"762","uncleaned",186
"763","uncleaned",189
"764","uncleaned",186
"765","uncleaned",188
"766","uncleaned",185
"767","uncleaned",185
"768","uncleaned",184
"769","uncleaned",184
"770","uncleaned",187
"771","uncleaned",186
"772","uncleaned",189
"773","uncleaned",189
"774","uncleaned",189
"775","uncleaned",185
"776","uncleaned",184
"777","uncleaned",185
"778","uncleaned",182
"779","uncleaned",185
"780","uncleaned",184
"781","uncleaned",185
"782","uncleaned",185
"783","uncleaned",189
"784","uncleaned",190
"785","uncleaned",183
"786","uncleaned",187
"787","uncleaned",187
"788","uncleaned",186
"789","uncleaned",190
"790","uncleaned",189
"791","uncleaned",188
"792","uncleaned",189
"793","uncleaned",189
"794","uncleaned",185
"795","uncleaned",189
"796","uncleaned",183
"797","uncleaned",187
"798","uncleaned",185
"799","uncleaned",183
"800","uncleaned",184
"801","uncleaned",190
"802","uncleaned",194
"803","uncleaned",191
"804","uncleaned",191
"805","uncleaned",191
"806","uncleaned",197
"807","uncleaned",194
"808","uncleaned",194
"809","uncleaned",197
"810","uncleaned",193
"811","uncleaned",195
"812","uncleaned",193
"813","uncleaned",191
"814","uncleaned",191
"815","uncleaned",196
"816","uncleaned",193
"817","uncleaned",193
"818","uncleaned",191
"819","uncleaned",191
"820","uncleaned",194
"821","uncleaned",191
"822","uncleaned",193
"823","uncleaned",197
"824","uncleaned",195
"825","uncleaned",190
"826","uncleaned",192
"827","uncleaned",196
"828","uncleaned",193
"829","uncleaned",197
"830","uncleaned",192
"831","uncleaned",191
"832","uncleaned",193
"833","uncleaned",196
"834","uncleaned",194
"835","uncleaned",193
"836","uncleaned",191
"837","uncleaned",195
"838","uncleaned",193
