"","variable","value","ordered"
"248","uncleaned",57.3734559876521,TRUE
"249","uncleaned",56.0535296711862,TRUE
"250","uncleaned",55.5185749844316,TRUE
"251","uncleaned",57.0912433764366,TRUE
"252","uncleaned",53.3107193253621,TRUE
"253","uncleaned",55.0931523338525,TRUE
"254","uncleaned",57.2671401054721,TRUE
"255","uncleaned",54.7568389102775,TRUE
"256","uncleaned",56.3784643047918,TRUE
"257","uncleaned",57.9122711968086,TRUE
"258","uncleaned",57.1258764013359,TRUE
"259","uncleaned",56.7166823330162,TRUE
"260","uncleaned",57.1791278523471,TRUE
"261","uncleaned",57.2162567498904,TRUE
"262","uncleaned",53.9184191441303,TRUE
"263","uncleaned",57.4764089686651,TRUE
"264","uncleaned",56.2161263385506,TRUE
"265","uncleaned",53.8469071013912,TRUE
"266","uncleaned",57.959869089227,TRUE
"267","uncleaned",57.2406607066501,TRUE
"268","uncleaned",56.7935326172222,TRUE
"269","uncleaned",56.7471647237561,TRUE
"270","uncleaned",55.693602163951,TRUE
"271","uncleaned",53.6303192288097,TRUE
"272","uncleaned",57.9600036197163,TRUE
"273","uncleaned",53.2588250691978,TRUE
"274","uncleaned",55.8111978316468,TRUE
"275","uncleaned",57.7934283058911,TRUE
"276","uncleaned",55.1864044164021,TRUE
"277","uncleaned",53.6991969176017,TRUE
"278","uncleaned",57.4055054550062,TRUE
"279","uncleaned",56.2313806234958,TRUE
"280","uncleaned",56.4695906079529,TRUE
"281","uncleaned",56.0118085379249,TRUE
"282","uncleaned",56.4413493459335,TRUE
"283","uncleaned",54.4490129901595,TRUE
"284","uncleaned",53.4974180889309,TRUE
"285","uncleaned",55.8893416419166,TRUE
"286","uncleaned",58.0553637831983,TRUE
"287","uncleaned",55.9975677606352,TRUE
"288","uncleaned",54.2304233000137,TRUE
"289","uncleaned",57.2302667896665,TRUE
"290","uncleaned",56.5918139444859,TRUE
"291","uncleaned",57.5910628456517,TRUE
"292","uncleaned",55.4974046890831,TRUE
"293","uncleaned",56.5514759412922,TRUE
"294","uncleaned",54.5870920682724,TRUE
"295","uncleaned",55.5155223121086,TRUE
"296","uncleaned",56.5721422613806,TRUE
"297","uncleaned",57.3808864750311,TRUE
"298","uncleaned",55.4471837786871,TRUE
"299","uncleaned",57.9166312815651,TRUE
"300","uncleaned",55.9170958604626,TRUE
"301","uncleaned",57.3051003352806,TRUE
"302","uncleaned",56.5191936204817,TRUE
"303","uncleaned",56.5516113909815,TRUE
"304","uncleaned",57.2785256118925,TRUE
"305","uncleaned",54.1667235103222,TRUE
"306","uncleaned",53.9769331293143,TRUE
"307","uncleaned",53.0360324955722,TRUE
"308","uncleaned",53.8590693130993,TRUE
"309","uncleaned",53.3539015071989,TRUE
"310","uncleaned",53.7721286839749,TRUE
"311","uncleaned",54.2652863935576,TRUE
"312","uncleaned",55.3704085486336,TRUE
"313","uncleaned",55.8997089188011,TRUE
"314","uncleaned",55.4999132590012,TRUE
"315","uncleaned",55.6508133013582,TRUE
"316","uncleaned",57.8535806835906,TRUE
"317","uncleaned",56.0239781207658,TRUE
"318","uncleaned",57.0666363355473,TRUE
"319","uncleaned",56.7787766930902,TRUE
"320","uncleaned",54.5624074061152,TRUE
"321","uncleaned",55.57154467318,TRUE
"322","uncleaned",55.4998280601833,TRUE
"323","uncleaned",56.2429486678844,TRUE
"324","uncleaned",54.061808639014,TRUE
"325","uncleaned",57.0766413953524,TRUE
"326","uncleaned",55.6778531907651,TRUE
"327","uncleaned",57.8156982836941,TRUE
"328","uncleaned",55.3517913400696,TRUE
"329","uncleaned",54.7386849204974,TRUE
"330","uncleaned",57.5408288097607,TRUE
"331","uncleaned",57.3229925492583,TRUE
"332","uncleaned",57.2913858262349,TRUE
"333","uncleaned",53.8162465061631,TRUE
"334","uncleaned",54.5168481611796,TRUE
"335","uncleaned",54.6285482494104,TRUE
"336","uncleaned",57.6737174005825,TRUE
"337","uncleaned",53.3287217072734,TRUE
"338","uncleaned",54.5381437261618,TRUE
"339","uncleaned",54.731131599402,TRUE
"340","uncleaned",53.7947828470659,TRUE
"341","uncleaned",53.9877909102722,TRUE
"342","uncleaned",55.8444694245817,TRUE
"343","uncleaned",55.9457427610685,TRUE
"344","uncleaned",57.5215893868254,TRUE
"345","uncleaned",58.1064049804987,TRUE
"346","uncleaned",56.6077421344415,TRUE
"347","uncleaned",56.6967237367736,TRUE
"348","uncleaned",57.9024074626628,TRUE
"349","uncleaned",57.079645665019,TRUE
"350","uncleaned",53.3021664537383,TRUE
"351","uncleaned",53.7190183329842,TRUE
"352","uncleaned",56.7284855059561,TRUE
"353","uncleaned",54.8610832301503,TRUE
"354","uncleaned",53.6120197965565,TRUE
"355","uncleaned",54.4099441174976,TRUE
"356","uncleaned",57.5302754940211,TRUE
"357","uncleaned",53.3235478805891,TRUE
"358","uncleaned",55.2294253930075,TRUE
"359","uncleaned",57.6811451757565,TRUE
"360","uncleaned",55.3077617973753,TRUE
"361","uncleaned",56.7120022566906,TRUE
"362","uncleaned",53.1131789245856,TRUE
"363","uncleaned",56.4460401608393,TRUE
"364","uncleaned",55.1861900657284,TRUE
"365","uncleaned",53.8479991076527,TRUE
"366","uncleaned",53.9141232792167,TRUE
"367","uncleaned",55.2194964049651,TRUE
"368","uncleaned",57.948261359702,TRUE
"369","uncleaned",56.4496974485195,TRUE
"370","uncleaned",57.4629377048692,TRUE
"371","uncleaned",54.0609051186504,TRUE
"372","uncleaned",57.4821119858845,TRUE
"373","uncleaned",55.4511631351135,TRUE
"374","uncleaned",56.6063901913017,TRUE
"375","uncleaned",57.6802623386207,TRUE
"376","uncleaned",58.0953783225238,TRUE
"377","uncleaned",54.8133599162603,TRUE
"378","uncleaned",55.1698858392967,TRUE
"379","uncleaned",57.352409179758,TRUE
"380","uncleaned",57.2580636861235,TRUE
"381","uncleaned",57.0789990912005,TRUE
"382","uncleaned",53.0826680132765,TRUE
"383","uncleaned",55.9732815267499,TRUE
"384","uncleaned",58.1720321516591,TRUE
"385","uncleaned",55.3820544049272,TRUE
"386","uncleaned",57.7456806303233,TRUE
"387","uncleaned",57.7670263564181,TRUE
"388","uncleaned",56.6299900673888,TRUE
"389","uncleaned",56.5336625977089,TRUE
"390","uncleaned",56.0841254023975,TRUE
"391","uncleaned",56.2921526043876,TRUE
"392","uncleaned",56.0151907033807,TRUE
"393","uncleaned",56.6020861274067,TRUE
"394","uncleaned",57.9718985169075,TRUE
"395","uncleaned",57.6004471828869,TRUE
"396","uncleaned",54.7216805048796,TRUE
"397","uncleaned",57.8223417625643,TRUE
"398","uncleaned",57.2505522234727,TRUE
"399","uncleaned",55.4983318270518,TRUE
"400","uncleaned",58.0977493958122,TRUE
"401","uncleaned",59.9899084741476,TRUE
"402","uncleaned",59.6708267838983,TRUE
"403","uncleaned",58.6495014229643,TRUE
"404","uncleaned",60.0850866315491,TRUE
"405","uncleaned",59.7913360217089,TRUE
"406","uncleaned",61.1500414398987,TRUE
"407","uncleaned",60.9763987960867,TRUE
"408","uncleaned",60.6371814871772,TRUE
"409","uncleaned",58.4473799562545,TRUE
"410","uncleaned",60.0356446633813,TRUE
"411","uncleaned",58.7003207187858,TRUE
"412","uncleaned",60.7083836225605,TRUE
"413","uncleaned",60.6059883202666,TRUE
"414","uncleaned",59.6800021315983,TRUE
"415","uncleaned",60.8643816015855,TRUE
"416","uncleaned",59.739758857711,TRUE
"417","uncleaned",58.9462035684924,TRUE
"418","uncleaned",58.4084126762883,TRUE
"419","uncleaned",58.9724943741133,TRUE
"420","uncleaned",58.3503609612463,TRUE
"421","uncleaned",58.4421107561039,TRUE
"422","uncleaned",60.6265480371239,TRUE
"423","uncleaned",60.9557096259913,TRUE
"424","uncleaned",60.6824412567178,TRUE
"425","uncleaned",58.2422364610105,TRUE
"426","uncleaned",58.4324108657161,TRUE
"427","uncleaned",60.8841085811723,TRUE
"428","uncleaned",60.4453254100704,TRUE
"429","uncleaned",59.9033338107277,TRUE
"430","uncleaned",59.0525993720956,TRUE
"431","uncleaned",60.5509005960793,TRUE
"432","uncleaned",59.5562069084991,TRUE
"433","uncleaned",58.6487546148905,TRUE
"434","uncleaned",60.569904276776,TRUE
"435","uncleaned",58.7864899500836,TRUE
"436","uncleaned",58.9171675904708,TRUE
"437","uncleaned",58.3035209554202,TRUE
"438","uncleaned",60.126863359043,TRUE
"439","uncleaned",60.8648446550398,TRUE
"440","uncleaned",58.3533244253216,TRUE
"441","uncleaned",59.9949757468564,TRUE
"442","uncleaned",59.1719824792099,TRUE
"443","uncleaned",59.2248338814343,TRUE
"444","uncleaned",60.0495136032477,TRUE
"445","uncleaned",58.3714820044946,TRUE
"446","uncleaned",59.1792468895119,TRUE
"447","uncleaned",58.7490069153111,TRUE
"448","uncleaned",59.5290105154924,TRUE
"449","uncleaned",59.7981216706205,TRUE
"450","uncleaned",60.7074912388035,TRUE
"451","uncleaned",58.4787327712991,TRUE
"452","uncleaned",60.3092359588515,TRUE
"453","uncleaned",58.9669165989989,TRUE
"454","uncleaned",58.8377381773745,TRUE
"455","uncleaned",59.9747606631804,TRUE
"456","uncleaned",59.2593951944174,TRUE
"457","uncleaned",60.7283930664731,TRUE
"458","uncleaned",60.7612702231203,TRUE
"459","uncleaned",59.1088506730868,TRUE
"460","uncleaned",60.6395343155098,TRUE
"461","uncleaned",59.8562439049918,TRUE
"462","uncleaned",58.7187439193146,TRUE
"463","uncleaned",58.5144243331684,TRUE
"464","uncleaned",58.8736678772366,TRUE
"465","uncleaned",59.7096074238942,TRUE
"466","uncleaned",58.8694878469852,TRUE
"467","uncleaned",58.5600689496463,TRUE
