"","variable","value"
"592","diff2",0.086
"593","diff2",0.05
"594","diff2",0.12
"595","diff2",0.082
"596","diff2",0.061
"597","diff2",0.052
"598","diff2",0.098
"599","diff2",0.077
"600","diff2",0.065
"601","diff2",0.057
"602","diff2",0.066
"603","diff2",0.066
"604","diff2",0.05
"605","diff2",0.081
"606","diff2",0.102
"607","diff2",0.076
"608","diff2",0.073
"609","diff2",0.069
"610","diff2",0.068
"611","diff2",0.091
"612","diff2",0.099
"613","diff2",0.08
"614","diff2",0.107
"615","diff2",0.111
"616","diff2",0.072
"617","diff2",0.085
"618","diff2",0.069
"619","diff2",0.075
"620","diff2",0.073
"621","diff2",0.08
"622","diff2",0.091
"623","diff2",0.072
"624","diff2",0.037
"625","diff2",0.083
"626","diff2",0.045
"627","diff2",0.104
"628","diff2",0.092
"629","diff2",0.083
"630","diff2",0.073
"631","diff2",0.043
"632","diff2",0.07
"633","diff2",0.031
"634","diff2",0.101
"635","diff2",0.083
"636","diff2",0.091
"637","diff2",0.095
"638","diff2",0.099
"639","diff2",0.085
"640","diff2",0.067
"641","diff2",0.099
"642","diff2",0.087
"643","diff2",0.057
"644","diff2",0.053
"645","diff2",0.096
"646","diff2",0.052
"647","diff2",0.108
"648","diff2",0.1
"649","diff2",0.059
"650","diff2",0.129
"651","diff2",0.06
"652","diff2",0.068
"653","diff2",0.046
"654","diff2",0.054
"655","diff2",0.052
"656","diff2",0.069
"657","diff2",0.089
"658","diff2",0.09
"659","diff2",0.056
"660","diff2",0.081
"661","diff2",0.076
"662","diff2",0.062
"663","diff2",0.104
"664","diff2",0.067
"665","diff2",0.078
"666","diff2",0.101
"667","diff2",0.068
"668","diff2",0.103
"669","diff2",0.067
"670","diff2",0.1
"671","diff2",0.083
"672","diff2",0.073
"673","diff2",0.104
"674","diff2",0.076
"675","diff2",0.087
"676","diff2",0.062
"677","diff2",0.069
"678","diff2",0.101
"679","diff2",0.076
"680","diff2",0.065
"681","diff2",0.067
"682","diff2",0.067
"683","diff2",0.064
"684","diff2",0.108
"685","diff2",0.118
"686","diff2",0.088
"687","diff2",0.07
"688","diff2",0.046
"689","diff2",0.061
"690","diff2",0.099
"691","diff2",0.098
"692","diff2",0.091
"693","diff2",0.094
"694","diff2",0.12
"695","diff2",0.061
"696","diff2",0.078
"697","diff2",0.06
"698","diff2",0.072
"699","diff2",0.043
"700","diff2",0.095
"701","diff2",0.09
"702","diff2",0.069
"703","diff2",0.085
"704","diff2",0.055
"705","diff2",0.089
"706","diff2",0.084
"707","diff2",0.087
"708","diff2",0.06
"709","diff2",0.066
"710","diff2",0.09
"711","diff2",0.072
"712","diff2",0.086
"713","diff2",0.066
"714","diff2",0.099
"715","diff2",0.082
"716","diff2",0.089
"717","diff2",0.096
"718","diff2",0.081
"719","diff2",0.056
"720","diff2",0.096
"721","diff2",0.07
"722","diff2",0.093
"723","diff2",0.074
"724","diff2",0.033
"725","diff2",0.09
"726","diff2",0.081
"727","diff2",0.078
"728","diff2",0.062
"729","diff2",0.067
"730","diff2",0.104
"731","diff2",0.088
"732","diff2",0.095
"733","diff2",0.035
"734","diff2",0.063
"735","diff2",0.055
"736","diff2",0.054
"737","diff2",0.068
"738","diff2",0.101
"739","diff2",0.091
"740","diff2",0.107
"741","diff2",0.051
"742","diff2",0.051
"743","diff2",0.065
"744","diff2",0.071
"745","diff2",0.076
"746","diff2",0.104
"747","diff2",0.054
"748","diff2",0.093
"749","diff2",0.095
"750","diff2",0.072
"751","diff2",0.047
"752","diff2",0.117
"753","diff2",0.043
"754","diff2",0.068
"755","diff2",0.103
"756","diff2",0.064
"757","diff2",0.073
"758","diff2",0.086
"759","diff2",0.093
"760","diff2",0.091
"761","diff2",0.075
"762","diff2",0.078
"763","diff2",0.042
"764","diff2",0.069
"765","diff2",0.13
"766","diff2",0.12
"767","diff2",0.081
"768","diff2",0.076
"769","diff2",0.066
"770","diff2",0.084
"771","diff2",0.058
"772","diff2",0.055
"773","diff2",0.045
"774","diff2",0.072
"775","diff2",0.079
"776","diff2",0.069
"777","diff2",0.083
"778","diff2",0.075
"779","diff2",0.08
"780","diff2",0.061
"781","diff2",0.079
"782","diff2",0.1
"783","diff2",0.051
"784","diff2",0.081
"785","diff2",0.059
"786","diff2",0.099
"787","diff2",0.058
"788","diff2",0.078
